district_id,district_name,province_id
1,Taplejung,1
2,Sankhuwasabha,1
3,Solukhumbu,1
4,Okhaldhunga,1
5,Khotang,1
6,Bhojpur,1
7,Dhankuta,1
8,Terhathum,1
9,Panchthar,1
10,Ilam,1
11,Jhapa,1
12,Morang,1
13,Sunsari,1
14,Udayapur,1
15,Saptari,2
16,Siraha,2
17,Dhanusha,2
18,Mahottari,2
19,Sarlahi,2
20,Rautahat,2
21,Bara,2
22,Parsa,2
23,Dolakha,3
24,Sindhupalchok,3
25,Rasuwa,3
26,Dhading,3
27,Nuwakot,3
28,Kathmandu,3
29,Bhaktapur,3
30,Lalitpur,3
31,Kabhrepalanchok,3
32,Ramechhap,3
33,Sindhuli,3
34,Makawanpur,3
35,Chitawan,3
36,Gorkha,4
37,Manang,4
38,Mustang,4
39,Myagdi,4
40,Kaski,4
41,Lamjung,4
42,Tanahu,4
43,Nawalparasi_E,4
44,Syangja,4
45,Parbat,4
46,Baglung,4
47,Rukum_E,5
48,Rolpa,5
49,Pyuthan,5
50,Gulmi,5
51,Arghakhanchi,5
52,Palpa,5
53,Nawalparasi_W,5
54,Rupandehi,5
55,Kapilbastu,5
56,Dang,5
57,Banke,5
58,Bardiya,5
59,Rukum_W,6
60,Dolpa,6
61,Mugu,6
62,Humla,6
63,Jumla,6
64,Kalikot,6
65,Dailekh,6
66,Jajarkot,6
67,Salyan,6
68,Surkhet,6
69,Bajura,7
70,Bajhang,7
71,Darchula,7
72,Baitadi,7
73,Dadeldhura,7
74,Doti,7
75,Achham,7
76,Kailali,7
77,Kanchanpur,7
